date,US
10/28/2012,14.80394843
10/29/2012,15.47605442
10/30/2012,19.07991848
10/31/2012,21.32211633
11/1/2012,21.95912537
11/2/2012,22.44710894
11/3/2012,21.2758875
11/4/2012,19.89618267
11/5/2012,20.57655474
11/6/2012,20.85707441
11/7/2012,22.09497298
11/8/2012,22.63689173
11/9/2012,22.69905123
11/10/2012,22.35476751
11/11/2012,22.09191968
11/12/2012,31.63002744
11/13/2012,32.35855166
11/14/2012,32.14019011
11/15/2012,32.3483463
11/16/2012,26.32881871
11/17/2012,25.23778597
11/18/2012,25.02355624
11/19/2012,25.88851159
11/20/2012,26.91193873
11/21/2012,27.7450385
11/22/2012,27.89971848
11/23/2012,26.18296342
11/24/2012,25.09252335
11/25/2012,25.18730603
11/26/2012,26.81363527
11/27/2012,28.48731585
11/28/2012,28.74099312
11/29/2012,29.50962389
11/30/2012,30.01090835
12/1/2012,29.69084878
12/2/2012,30.26594158
12/3/2012,33.66737927
12/4/2012,38.37367309
12/5/2012,40.341851
12/6/2012,41.6739231
12/7/2012,41.47237077
12/8/2012,39.55170744
12/9/2012,38.69529027
12/10/2012,39.28784936
12/11/2012,39.40448534
12/12/2012,40.6746495
12/13/2012,40.53782627
12/14/2012,40.16139379
12/15/2012,41.61511186
12/16/2012,41.26454073
12/17/2012,43.53011986
12/18/2012,45.27161929
12/19/2012,45.48580646
12/20/2012,46.54339017
12/21/2012,47.25442273
12/22/2012,47.4402329
12/23/2012,47.59679477
12/24/2012,48.10879908
12/25/2012,46.34803516
12/26/2012,48.34610913
12/27/2012,49.67433997
12/28/2012,50.92677538
12/29/2012,52.6960309
12/30/2012,52.34724321
12/31/2012,52.72393249
1/1/2013,51.83526339
1/2/2013,52.79293119
1/3/2013,54.29747011
1/4/2013,57.20758412
1/5/2013,58.45431708
1/6/2013,60.5203029
1/7/2013,62.30067333
1/8/2013,63.03619335
1/9/2013,64.65483677
1/10/2013,72.18089187
1/11/2013,73.62223142
1/12/2013,74.34991895
1/13/2013,74.53853188
1/14/2013,66.53015047
1/15/2013,63.35081261
1/16/2013,62.0143271
1/17/2013,60.57637572
1/18/2013,59.7412471
1/19/2013,58.86360909
1/20/2013,57.4571524
1/21/2013,57.5411394
1/22/2013,55.24397742
1/23/2013,54.15041466
1/24/2013,53.56304721
1/25/2013,52.02657978
1/26/2013,50.45493435
1/27/2013,48.85869192
1/28/2013,48.39166294
1/29/2013,47.96711455
1/30/2013,47.34053105
1/31/2013,46.48510602
2/1/2013,44.51481965
2/2/2013,42.61670364
2/3/2013,41.20443842
2/4/2013,40.74035743
2/5/2013,40.49955515
2/6/2013,39.49983564
2/7/2013,38.47280635
2/8/2013,37.34536497
2/9/2013,36.72813948
2/10/2013,36.81961953
2/11/2013,37.38131875
2/12/2013,36.81013723
2/13/2013,36.62225802
2/14/2013,35.87346611
2/15/2013,35.05855785
2/16/2013,20.65891807
2/17/2013,18.89191983
2/18/2013,18.77454351
2/19/2013,19.18156688
2/20/2013,33.22758786
2/21/2013,33.63725269
2/22/2013,32.72555194
2/23/2013,32.2048081
2/24/2013,31.00533462
2/25/2013,17.61494123
2/26/2013,17.90214802
2/27/2013,18.91439929
2/28/2013,19.17234347
3/1/2013,29.0060518
3/2/2013,28.34522591
3/3/2013,27.6424279
3/4/2013,28.9112219
3/5/2013,29.0208337
3/6/2013,29.2332515
3/7/2013,22.99679696
3/8/2013,22.64154005
3/9/2013,21.16991541
3/10/2013,20.28804763
3/11/2013,27.52999185
3/12/2013,22.24969807
3/13/2013,23.46621751
3/14/2013,24.38124098
3/15/2013,23.94282325
3/16/2013,28.69986892
3/17/2013,27.65490296
3/18/2013,26.98493103
3/19/2013,26.68678565
3/20/2013,26.52553993
3/21/2013,27.32612981
3/22/2013,27.05976126
3/23/2013,26.57626604
3/24/2013,26.35007157
3/25/2013,26.2488952
3/26/2013,26.38025414
3/27/2013,26.0712104
3/28/2013,25.91218143
3/29/2013,25.190564
3/30/2013,24.50296091
3/31/2013,24.13418628
4/1/2013,24.32721117
4/2/2013,24.29244016
4/3/2013,24.11062764
4/4/2013,24.28649695
4/5/2013,23.64786252
4/6/2013,23.51027906
4/7/2013,23.65311943
4/8/2013,22.57462772
4/9/2013,22.18976132
4/10/2013,21.6121908
4/11/2013,20.39996301
4/12/2013,20.24784663
4/13/2013,19.92784696
4/14/2013,19.95047925
4/15/2013,20.26831139
4/16/2013,19.44207414
4/17/2013,18.8695388
4/18/2013,18.17470667
4/19/2013,17.74587684
4/20/2013,17.53537335
4/21/2013,17.66386761
4/22/2013,17.23095289
4/23/2013,17.34529824
4/24/2013,17.95587587
4/25/2013,18.52057275
4/26/2013,18.58720988
4/27/2013,18.44641398
4/28/2013,17.6732322
4/29/2013,16.40705665
4/30/2013,16.59002224
5/1/2013,16.35499604
5/2/2013,16.09952051
5/3/2013,15.49972318
5/4/2013,15.18678459
5/5/2013,15.18048898
5/6/2013,15.17378585
5/7/2013,15.25866286
5/8/2013,15.02802372
5/9/2013,15.23914702
5/10/2013,15.19624016
5/11/2013,15.21006707
5/12/2013,15.31307322
5/13/2013,14.75695573
5/14/2013,14.8589568
5/15/2013,14.57732422
5/16/2013,14.40735799
5/17/2013,14.17368435
5/18/2013,13.71639073
5/19/2013,13.92968193
5/20/2013,14.21077379
5/21/2013,14.812394
5/22/2013,15.27086951
5/23/2013,15.22617067
5/24/2013,14.69179062
5/25/2013,14.11966793
5/26/2013,13.55573818
5/27/2013,12.95658924
5/28/2013,14.10249993
5/29/2013,14.21903899
5/30/2013,14.24007368
5/31/2013,13.94197178
6/1/2013,13.21345025
6/2/2013,12.80767678
6/3/2013,13.02292807
6/4/2013,13.31978437
6/5/2013,13.8945144
6/6/2013,14.01888079
6/7/2013,13.52377969
6/8/2013,13.30602767
6/9/2013,12.53058748
6/10/2013,12.49643368
6/11/2013,12.20482486
6/12/2013,12.38551547
6/13/2013,12.09657491
6/14/2013,11.39800656
6/15/2013,11.04391352
6/16/2013,11.14725673
6/17/2013,11.72788411
6/18/2013,12.54227531
6/19/2013,12.71227561
6/20/2013,12.49922261
6/21/2013,12.22534522
6/22/2013,11.61507977
6/23/2013,11.28090008
6/24/2013,10.69980784
6/25/2013,10.39930937
6/26/2013,10.05450266
6/27/2013,10.22563333
6/28/2013,10.38580922
6/29/2013,9.887186825
6/30/2013,9.775151568
7/1/2013,9.787309803
7/2/2013,9.833294358
7/3/2013,10.15362418
7/4/2013,9.790232317
7/5/2013,9.474963373
7/6/2013,8.920204204
7/7/2013,9.199357762
7/8/2013,10.09117934
7/9/2013,10.20525228
7/10/2013,10.48604949
7/11/2013,9.94821404
7/12/2013,10.03400524
7/13/2013,9.573691013
7/14/2013,9.356189559
7/15/2013,9.378894514
7/16/2013,9.665021835
7/17/2013,9.859898269
7/18/2013,10.1731603
7/19/2013,10.14778317
7/20/2013,9.567047458
7/21/2013,9.32337721
7/22/2013,9.333327793
7/23/2013,9.165747128
7/24/2013,11.50076951
7/25/2013,14.45253394
7/26/2013,14.81530613
7/27/2013,15.09622902
7/28/2013,13.8559252
7/29/2013,10.58090531
7/30/2013,10.06272094
7/31/2013,10.20447667
8/1/2013,10.16789902
8/2/2013,10.04813669
8/3/2013,9.77940138
8/4/2013,9.69694375
8/5/2013,10.13535265
8/6/2013,10.45515522
8/7/2013,11.1866513
8/8/2013,11.391392
8/9/2013,11.01203486
8/10/2013,10.65552621
8/11/2013,10.04807112
8/12/2013,9.880105
8/13/2013,10.20787637
8/14/2013,9.958893261
8/15/2013,10.36582232
8/16/2013,10.26478177
8/17/2013,9.922317005
