"week","year","childfever","coldvsflu","cough","delsymcoughsuppressant","delsymcoughsyrup","drycough","feverrashinfant","flu","fluincubationperiod","flumedicine","flusymptoms","fluvscold","influenza","influenzab","influenzabsymptoms","influenzasymptoms","lowgradefever","naturalcoughremedies","productivecough","stomachfluincubationperiod","swineflu","tamiflusideeffects","therafluingredients","vickscoughdrops","wetcough"
9,2014,0.125771572714286,0.827270790285714,4.75354834257143,1.73981028357143,0.495154316714286,2.56192703142857,0,14.4673132828571,0.547505156571429,0.386944543,38.2163326257143,0.351268773571429,10.2060680481429,5.31365397214286,0.301229926285714,4.352087842,1.12849349242857,0.531130435571429,0.834523775571429,0.403280604,7.70462165071429,2.67433898057143,0.169161518857143,0.135799009142857,0.221175022285714
10,2014,0.0538242427142857,0.619754453,5.21751800942857,1.44514421457143,0.449906590285714,3.26933609685714,0,14.7046503757143,0.303444583714286,0.563891256571429,37.3283010214286,0.412010871857143,10.3898282704286,5.25210691242857,0.343564504,4.79372696,1.30402558428571,0.864721240428571,0.718690090285714,0.713990728,6.01668085914286,2.838919185,0.104171719857143,0.128631194428571,0.334113694714286
11,2014,0.0922120477142857,0.479976706714286,7.03488195185714,1.66461398442857,0.29610404,3.256755132,0,13.8992914142857,0.282204365428571,0.570272294285714,35.8157768885714,0.293971203142857,10.5406892808571,6.94985529314286,0.297241557714286,4.34376080557143,1.53871366928571,0.712362379285714,0.51471643,0.564763298714286,4.87586604142857,2.92528244557143,0.241264235857143,0.259158140428571,0.216912203571429
12,2014,0.167254242,0.658479752142857,6.27500016485714,2.03801562714286,0.367466835714286,3.65287375928571,0,12.9834003928571,0.528266303,0.426911224285714,33.1503548642857,0.472930519142857,11.1614125937143,8.59759080714286,0.434492565,4.35551629542857,1.75408741357143,0.870622448714286,0.471694274428571,0.414125516571429,5.42387521028571,2.59389485485714,0.142481870571429,0.152103009571429,0.499076433142857
13,2014,0.119721921857143,0.743908690714286,6.51621386714286,0.974941019571429,0.351371211428571,3.53965640814286,0,15.5493839671429,0.529049476571429,0.351759264,30.8140701857143,0.434688834142857,11.9621626868571,9.38072372771428,0.442003361142857,3.62351152071429,1.81495541185714,1.00500451,0.475545042428571,0.686163007571429,4.98282114057143,2.53435775571429,0.0785031085714286,0.286883580142857,0.279778995571429
14,2014,0.114704688142857,0.523701635857143,7.07660073542857,0.704237283571429,0.313406163857143,3.22522970828571,0.0160946702857143,15.97315565,0.387257266857143,0.520319421285714,28.5790144628571,0.253503315428571,11.39779675,11.7437188985714,0.588643698142857,3.64438646228571,1.76850052242857,1.06033115857143,0.886382221,0.925662846,4.76049148485714,2.30143907642857,0.141722942714286,0.146790143142857,0.236479952285714
15,2014,0.0430216721428571,0.344728695428571,7.80012364485714,0.984531326571429,0.356600056428571,3.287616349,0.018936582,13.7354352528571,0.382165578285714,0.469347864571429,26.4260110357143,0.173574344714286,10.9630498807143,13.4879400828571,1.04985096557143,3.53354862042857,2.07354973314286,1.04419811457143,0.593409574571429,0.659491001285714,6.18195137385714,3.16529136,0.154198117285714,0.0987015302857143,0.214792933857143
16,2014,0.117455939142857,0.558496257857143,6.85184160428571,1.426223385,0.416394180857143,3.62293386114286,0,14.1191677014286,0.283132430571429,0.438742800857143,26.1855192014286,0.521518214142857,12.10728683,13.9511663885714,0.995436662,3.19940362971429,1.647839883,0.908508706285714,0.981668891857143,0.417844758,4.64729037671429,3.16081129557143,0.129588467857143,0.0296113347142857,0.433815061142857
17,2014,0.129156806285714,0.702366663285714,7.55832123014286,0.692475975571429,0.146140491,3.62475740842857,0,14.7485049657143,0.251285004285714,0.201272676428571,23.77589096,0.237510909571429,11.191855432,17.7874978257143,1.36480355142857,2.10945511457143,2.27107777257143,0.669751758,0.546481639857143,0.545737029285714,5.43378884942857,1.93371138528571,0.140555685285714,0.151019499285714,0.448238624428571
18,2014,0.101723672142857,0.781038767714286,7.54489611685714,0.864881538,0.356386176857143,4.28704599971429,0,12.5177524557143,0.209216721857143,0.210182953714286,20.4081822814286,0.345740834428571,16.0628089442857,17.0024388028571,1.57605276257143,2.49169166357143,1.59572184628571,1.11151571757143,0.901916921428571,0.342410718857143,5.366693901,1.65306035342857,0.0352418301428571,0.138061031857143,0.231885178857143
