date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
12/10/2016,18.12415875,15.34902468,18.25063448,17.93820949,16.05083634,19.61891231,18.81228273,19.52781653,17.18836864,18.2436331,15.41396085,21.61782589,11.26602123,21.50940286,18.35022821,19.7075851,19.57275221,21.02165869,16.30200668,20.80693241,19.52153208,20.14076301,19.86505638,18.08180274,15.36613213,19.28788303,18.92596785,23.48999338,17.42080376,22.07709769,18.79028462,17.97781518,19.58204378,21.74243899,19.91357475,19.84664588,21.51413636,17.44757003,22.91334635,18.64260684,18.14303301,17.04585207,20.02980764,22.72714415,17.08273261,17.01992571,18.99282109,18.89507427,21.35700327,20.36943073,21.62515022,17.65716116
12/11/2016,30.789498,19.6676304,23.91625437,28.58925568,32.01912266,27.44077445,30.88879477,28.52857189,24.13277644,25.16756299,20.1673479,36.89695504,11.71064069,34.31688411,28.17528178,27.86606006,27.71808051,30.48042705,22.44088375,27.31710314,27.16018131,27.99369859,31.5614117,24.86401085,20.42815778,29.57992811,28.76414796,29.13432903,24.89311959,30.27748899,28.35689,28.46089508,32.93745917,28.83119746,29.2618461,29.33074048,32.18223067,30.12246347,34.52840229,28.51738442,25.9732395,26.30632863,31.00038332,32.42359457,25.68052459,29.32038086,26.9679649,25.89760442,38.52852191,29.04296564,29.78829886,29.95249395
12/12/2016,71.83045228,59.45878627,66.05867482,69.85711941,69.09085393,72.49602097,74.48170254,71.13276984,63.41507865,71.78426283,59.62960942,72.21585112,41.86339479,73.83483587,66.27607648,68.56093195,72.58819879,74.29731198,64.45265083,71.50330993,68.60816819,71.06516269,74.11398885,67.44297366,64.78129719,63.96322024,71.89618714,72.01145304,69.75929083,75.60637055,74.97848224,71.49113701,74.31794743,69.75823753,71.78052489,72.56053919,71.56281573,74.31309632,75.4519445,68.37572639,69.8244075,69.54312191,71.30950414,73.06497668,68.01314226,75.68407739,72.64515312,74.36978196,81.85085351,73.95317957,70.04848678,67.67787901
12/13/2016,74.71862712,63.54448548,70.53358687,73.94295517,72.06519307,75.58471755,76.45931643,76.37488963,66.11246374,74.94342403,66.4193533,78.98947897,46.02238089,77.65112632,69.40896779,73.12694083,74.89478324,76.11776185,69.75008044,75.8108513,71.98010577,76.4415473,77.49658722,71.13548155,69.56221812,67.15253686,76.94878563,75.95577285,75.94293092,76.57109402,77.61765173,74.74410715,74.68259986,72.85097465,75.47519685,76.15262604,75.01469938,80.48338993,78.24203391,72.30158746,73.04561397,72.58873284,74.17255566,75.91469691,71.74050977,79.23165558,75.90267863,74.73665843,84.43575077,76.26260097,76.54433645,70.44135066
12/14/2016,73.30836317,65.58444501,70.01176269,75.47420958,72.84057251,76.38647267,75.85306933,75.18139079,68.18905856,76.23592573,68.60974636,81.00840696,48.66456468,77.34870317,71.72800155,73.92282842,77.434277,76.56606886,70.71631781,77.15825042,73.40246422,78.27392131,78.40801556,72.80609845,71.87889184,70.29018984,78.87876821,77.20113894,76.56515653,76.42513302,78.42064425,75.45746198,75.86951911,74.54640458,76.13824227,77.46863878,74.39006182,82.34893183,78.67558065,73.58246042,73.79558805,73.06034658,76.02715545,73.88647474,72.17324431,79.21663222,77.10285478,76.28937793,85.26323529,76.83373755,77.88536285,71.39378092
12/15/2016,71.23556243,66.68093499,70.60082533,74.88908027,72.54166054,76.93189626,76.9790128,74.18984003,67.09148172,76.94572509,69.94011681,79.88097626,47.19462497,77.66086112,71.11786869,73.40115829,76.23278839,76.63471621,70.15463754,77.02468269,73.31433831,78.93205653,79.4812433,72.48868941,72.11804474,67.79025681,77.86469513,76.80613893,78.54369084,76.44861903,78.16043824,75.43024724,76.70469517,76.77770616,76.3555354,78.11954577,74.63124694,82.06478713,78.55713812,73.37958458,72.96583863,73.7831912,75.01330427,71.52121847,72.1212145,78.35853806,77.0982103,73.86143236,85.18740491,77.6923012,78.52486628,70.22297087
12/16/2016,60.19430677,51.16978495,57.27104401,63.00269017,60.108659,63.48383949,61.72913483,58.35636339,49.09814369,63.47898987,57.82125588,65.6175659,30.30913626,64.32170456,57.71662345,61.0244873,62.28065594,62.66424785,56.60241082,65.61727373,61.18050284,65.46313279,66.10494819,57.28034983,58.23776574,59.20069369,61.30447325,65.08697448,68.03775431,62.64771831,62.96928941,63.0149541,65.03708216,62.93271056,62.3975668,65.96991521,62.43746036,73.93108953,65.89792276,60.05662614,60.95659167,60.35731833,61.16236397,57.37951935,60.28274398,66.06472724,65.70504635,57.21784546,74.29237309,66.63710776,71.84421025,58.05881283
12/17/2016,60.50391151,48.0798327,58.59181418,60.9912071,56.59121569,59.93001926,56.9799598,54.96059363,44.80412803,60.28678764,52.05478063,58.4564768,27.01073968,62.2207817,54.64901575,57.61713702,57.24851082,58.99626458,53.75983307,59.71723956,59.24279079,57.64150495,62.78881089,55.97593604,55.52605763,58.13583044,58.54602405,61.96416912,61.04148184,59.82050251,59.65326168,59.92189149,63.87522958,60.86892303,57.48901017,64.3667629,56.70044916,67.27767358,61.60249925,56.7705824,59.33226371,56.87751974,55.23795538,55.46161326,59.50731562,62.36075578,62.60272266,58.16836783,70.87713019,66.63628216,65.54106652,58.19334268
12/18/2016,59.05031639,45.39942343,54.80089881,56.09975747,50.18768073,57.4479038,54.59363709,52.21932205,37.75820641,54.42585039,44.95063425,51.34409892,22.28253467,56.52324465,48.88164938,55.07047816,50.58577194,54.63107118,48.04312657,52.86788936,54.24488451,53.35906287,59.32442607,50.84537703,49.28669125,54.66024714,52.00100382,58.31822747,56.26646158,55.13020289,55.10896164,53.14256792,57.4713268,55.94887799,51.94667636,59.43138672,53.58603594,62.51580103,55.23597047,51.85438842,56.00669402,51.95239977,46.90397995,54.0644788,55.22855394,59.55258117,57.82069449,52.68400464,64.32486567,62.92671386,62.44309153,55.35691679
12/19/2016,51.23370901,40.0650371,45.21480408,46.92538454,40.54223221,54.25760811,44.02399689,42.0508652,31.05749847,46.51746107,35.17834005,45.33938819,19.83329077,48.46676589,42.62517965,49.18865418,43.96287373,45.08358596,41.97927561,45.73635531,48.52327573,46.94456087,52.1557505,45.54683225,40.18676734,51.78524353,45.24432582,51.78813397,48.15302863,44.79642372,48.31841611,45.37265475,47.52409587,48.81432879,43.2142033,50.92697367,46.36121795,52.56532801,47.17473432,43.88555873,49.12606425,42.72942086,42.60485542,50.85807471,47.10666368,52.46772712,54.00092891,49.44093871,55.47949936,57.3442445,59.25703051,45.93132394
12/20/2016,38.75910717,32.07339974,34.77056122,36.56655795,29.12811654,41.1215826,34.47585269,35.03232382,26.4096069,37.29753604,27.65496124,39.36256273,17.72606239,40.58015858,33.53511143,38.70263581,36.94333199,35.61745861,36.07244945,35.64525013,38.67156137,38.0320763,42.05153825,38.30782237,32.94668672,43.03908175,42.76443259,42.80904667,37.73393059,38.09887657,44.19898903,37.58376423,37.18057829,39.81430542,33.94598783,40.97057071,40.67496645,41.70042755,38.34925559,35.61332571,39.29050601,33.09020694,34.53089591,41.93068696,35.75274696,39.04531889,43.44280331,38.18863139,43.56293059,46.74308792,45.34742073,36.08788927
12/21/2016,20.56771014,24.35178273,19.73820309,19.08438562,19.52695324,29.15796358,20.66143044,24.69488997,18.18073958,23.74837779,21.89612978,29.62198682,11.36265387,25.54775848,21.83794781,24.55068352,24.2725851,28.56867044,26.10471453,25.68126253,23.60014596,26.59189442,24.74555043,25.49881923,20.59937707,31.97546736,33.78577492,33.80193852,27.96863263,24.95369761,29.65577657,23.35967477,25.52624725,23.66587873,23.22722694,22.82136006,27.05836583,29.34398849,27.74379571,25.46686443,26.45792534,26.73118436,23.64784151,30.60273774,21.79487306,27.19130961,30.34211426,26.884975,26.99578984,28.87459873,36.34314831,23.61758415
12/22/2016,20.96163166,23.62718426,21.00004732,19.89182018,18.66526063,26.80132917,19.02284464,23.98598983,20.34721742,22.31114617,22.34916762,26.30426777,15.0546898,23.68135807,20.8493441,21.73293132,26.32844145,26.17388614,24.53275683,24.3519052,22.98862653,23.60886534,24.27723161,25.00230662,21.21639545,29.46498427,29.38376064,31.31353594,27.79363245,23.9459904,25.1967905,22.65758171,23.57207384,22.84165074,23.57783098,22.80935162,27.08695106,28.9971136,25.78386605,24.46158701,25.30745139,28.07418833,24.35140276,27.38471134,20.87333235,25.82315145,28.10910125,25.80769011,27.73047487,26.16774705,30.66776296,23.39945744
12/23/2016,20.93228389,24.467693,20.46601629,20.87348153,18.30436802,24.45511891,21.13741015,25.28896157,20.66303396,21.64740507,21.55895718,24.29757396,15.8406455,22.83555197,19.50028495,22.31148955,24.39790033,28.63307808,21.93537203,23.84259446,22.66471663,22.2827096,22.06732403,23.64560844,23.5392748,27.68526207,26.46861867,30.85686758,26.84767258,23.07381933,23.90000661,21.28148638,22.91822771,22.84643641,21.93578428,22.96769772,25.96618319,29.97263201,25.23624958,24.07359885,24.99525346,27.96747693,22.6383404,25.91824927,21.07343743,26.20045279,24.43277602,24.8473565,25.42829388,27.62937225,29.38883674,23.51866977
12/24/2016,20.35673856,23.4909635,20.63849906,20.19690673,18.13936103,26.02021057,22.52342291,25.74208463,19.91350092,19.69681567,20.35760726,21.81429176,17.66003419,20.17251217,18.94058485,21.45186525,23.89497015,27.71756067,19.90447222,22.59400334,22.81698849,22.24674392,21.98963743,23.06698807,21.20925554,24.35540338,22.1419168,29.57235645,24.83891278,23.14756142,22.99597624,21.11592219,21.6287728,21.37962648,21.26954516,22.52947554,24.51569183,27.88741378,23.84087262,21.93893076,22.93738992,26.38188187,22.19501695,23.49791597,20.71421991,25.52119467,22.63492424,22.53708609,25.64077493,25.60922283,25.40108115,24.12204801
12/25/2016,18.66705945,21.62239661,18.05196052,18.98286924,17.40966476,21.37579805,22.23725452,21.56248177,19.53067817,16.83033407,18.81093335,19.08075477,17.68906525,18.17849309,16.61215686,19.71338646,21.72527271,21.31714058,17.65650048,20.62328585,21.01387429,20.07250258,19.55313498,17.85179419,19.61139095,20.16633645,19.36298477,24.44503058,19.89948548,21.31691279,21.76591294,19.91758838,18.82009296,18.53545813,19.42216407,19.5445645,20.66395117,24.15935281,20.40654484,18.77478972,20.29505305,22.58642135,20.46682158,21.3489753,17.51330345,22.61255863,20.7711191,20.05453981,21.83229296,21.53086917,19.789188,21.15023934
12/26/2016,18.34007694,26.1982872,17.63532963,17.20517027,17.30390156,20.82751048,24.90460237,24.21282297,18.02837134,15.36308428,17.23733009,20.82477865,15.93837281,15.65317424,15.95863947,22.57666539,21.99617641,22.32838405,15.31463468,19.2258076,18.27618606,20.81020009,19.49531867,17.18321191,19.48415988,21.34917279,26.48194348,25.87389761,17.8594273,26.55338198,23.12292406,18.7406184,18.77128283,17.66937772,18.34619259,20.13220273,20.04284321,25.53084249,25.43742205,18.78270679,19.60809266,19.46308075,20.94083879,23.08359082,17.76243182,23.31559774,23.8519841,19.57068043,20.56910672,25.84273214,23.97476893,22.11547897
12/27/2016,21.41039274,27.54081904,21.13736329,19.29907053,18.83192259,19.30818521,23.74052679,24.53628475,19.0280899,18.45273251,18.64851927,21.64030036,18.06728255,19.67051791,17.88921003,21.16034589,24.00671179,21.08116709,19.98285238,23.27003874,21.24998139,25.86149117,21.80903624,20.3884367,21.4101937,23.35090916,28.95341794,26.26628832,19.64550398,27.44998585,25.4762347,22.51863487,22.14036108,18.95020729,23.45092044,22.70687438,21.54455438,25.33023653,26.55681391,21.25644988,20.57224622,20.78084695,25.16481424,25.22407076,17.67370304,22.3146513,26.43953157,22.1726514,23.0381734,26.39821034,28.2045388,22.96773663
12/28/2016,24.07422951,28.38285848,26.55288272,21.27595845,19.20486391,20.98896324,24.92280404,24.84347677,23.18817415,20.23281902,20.41707346,24.87320695,17.27779753,22.69328277,19.71106332,22.97666359,25.55660441,20.72481383,21.56960054,25.20391339,22.21140241,25.32192742,22.25779796,25.07635311,26.13556801,27.0033177,32.90198516,27.28219902,22.41535294,27.50177177,26.99917914,22.58518539,23.77025481,21.28768725,25.93454371,26.72127239,23.90796643,26.80506239,28.8996002,24.29956145,23.31024316,25.38866088,28.88745039,28.90541713,20.25080543,26.27881872,27.90473052,23.19490069,27.65181103,30.05991413,31.92129225,23.29504853
12/29/2016,26.70443358,27.05902431,27.6120476,23.15783257,20.89331917,26.73843297,24.49925609,27.05190851,24.4748777,22.87656323,22.63483215,25.76895965,18.98609879,26.6899836,21.55330812,26.3664389,26.44235593,26.30466633,25.36629688,26.39213468,25.40451741,29.97881238,24.99383714,28.46570119,27.31254009,29.32841179,34.32349696,30.02544198,26.59357634,28.5079403,26.80828459,24.72768162,25.92529518,24.61194853,31.16161756,28.56807745,27.75204143,31.77742152,32.59235403,27.49185733,25.76895077,25.8926559,29.31395205,33.26598714,22.12964641,26.74880873,29.75240107,25.67351748,28.74764284,32.21251297,34.51407247,25.29602217
12/30/2016,27.15732659,26.78146851,29.31881333,23.90165265,22.64259152,28.23598891,24.78336398,25.96098604,25.49621159,24.03549494,24.61933576,24.05782587,19.83674734,31.39377953,22.76403663,27.41001332,28.1687243,27.73310142,29.67854766,28.29916778,28.47353045,31.00615211,26.15002763,30.5123439,29.07936806,29.50315989,30.12313989,30.93286838,29.57254688,29.42828155,28.03700932,28.21226925,26.90656449,24.37183551,33.34174356,29.77314668,31.54726661,35.07320562,33.19473068,30.45373365,26.81348871,28.05170038,30.41299474,35.3827731,23.34880856,29.76507556,30.03426569,28.54376188,33.23467668,33.30735042,34.16373563,27.16813404
12/31/2016,26.02898822,24.48475713,29.35305637,23.31545628,23.27631337,32.24335601,25.90876307,24.08001304,26.20414978,22.02160325,24.20883664,24.48255691,18.46939635,31.03857838,23.31375473,27.81748713,29.27627663,26.5001675,26.98409625,25.86979487,26.31121796,28.35327688,25.37028227,30.75104364,27.44548318,27.7810977,28.88217831,28.93427104,27.76308395,29.61926916,27.22512486,27.67927098,24.180576,22.65743548,33.39751302,29.00299624,30.29717701,36.89058513,33.63334902,29.2754811,26.56313014,27.08939567,27.96613876,33.95398675,22.66739739,29.52402122,30.53797769,29.27361504,35.91738921,33.30150679,33.59570688,27.5117522
1/1/2017,24.43540711,24.79901193,24.42011755,22.00570982,23.58343181,32.01054337,23.63578243,24.75204101,22.64078864,21.46038005,22.14776801,23.71506084,16.9843897,31.51580657,23.42934681,25.94708458,27.03703005,28.09921872,27.12229947,24.91373297,26.61902515,32.62396604,25.1801558,25.80324846,24.36396756,23.90976489,28.98209992,28.58033948,26.26240231,32.58287054,25.70378725,29.12127167,21.20603176,21.64560274,32.63875218,27.55920327,28.76988695,37.51916144,32.78311655,27.89773021,25.14020062,25.5974943,25.48090281,34.02523259,21.38763366,28.2895596,28.452812,28.98321138,34.15480646,30.97821534,32.38826691,27.66362435
1/2/2017,21.74780856,26.06003689,23.4131018,20.42049624,22.05785488,25.54144452,24.43342597,22.661061,21.20816712,21.39505654,21.38153022,24.17891011,15.46474908,26.91090745,24.11353836,22.51438248,27.08560675,23.68392426,25.46773257,24.71974053,23.88570088,31.11135074,24.58470722,23.64165839,25.69233949,20.5707262,31.9593156,26.55316808,23.91379143,34.50679717,25.79384285,26.32577557,18.25378449,18.97659615,28.27985235,28.40829561,28.20967868,34.9255022,31.09352376,25.45407785,25.35301691,26.50288588,25.64853678,27.81754503,20.94434409,27.40046668,25.69444779,28.04058532,35.58076434,32.9266652,29.53089328,28.57307997
1/3/2017,22.27446001,27.29670043,23.77146994,21.58687806,21.77160991,29.62783401,26.99551409,23.87104828,22.60232646,23.65136376,21.96105118,26.68164564,16.19004479,26.53119172,24.69431504,22.19736363,23.98027561,24.89170896,25.72489691,25.68077056,23.8935189,32.38450947,26.05164771,25.4824765,27.72696897,20.43044722,35.04765843,25.91149856,25.73258724,35.61988955,27.58504313,27.74053708,19.04196391,23.14343867,28.56395837,30.24327728,26.21342261,35.39835226,34.09514084,25.35426702,30.56643395,28.00615223,28.88304868,29.6790844,22.60073024,25.40204812,28.88930988,25.21644837,34.51112454,32.25324168,34.01310066,28.66523104
1/4/2017,26.30832689,29.76161888,27.16271718,20.59922169,23.43613912,29.48689236,26.49868313,28.1446876,23.84368024,26.34998314,22.80582469,31.08545752,18.84592971,27.57709371,24.95433133,25.96344835,25.29033678,26.67438911,26.80068521,26.25239212,27.07173187,31.8643925,26.73417794,28.40167163,32.57858922,25.50100088,38.71709682,27.11632306,29.21135279,38.56825917,28.07578762,29.75127599,22.3148987,26.51301966,29.76712014,31.23650688,31.41377284,38.0957189,38.21221434,27.90673176,36.32517009,29.93474661,31.82922926,30.44990239,24.12826921,26.03819741,30.22486529,29.33342388,38.931825,33.95021395,34.12631382,28.4063177
1/5/2017,28.57145438,29.0545092,28.63536316,20.12156273,23.79162824,29.75388736,28.85607328,26.47303621,25.78072781,26.29031908,24.65423324,29.15687085,20.31571268,28.59640196,25.87502669,27.44628537,27.28428017,28.6690566,29.18029152,28.25047346,29.73384674,30.4942037,28.19604888,31.2399631,36.54469447,27.84291614,39.4535649,28.81067479,33.27764028,38.42625489,28.00370894,29.55342329,24.20902078,28.19709883,32.96856113,30.81083412,33.0322737,39.33725736,37.9097587,29.55294253,34.40056093,29.65283971,31.50675907,30.14991984,24.16335305,25.66705392,32.07778872,31.51624672,43.71003789,34.81039016,36.02050669,29.08049093
1/6/2017,28.57042166,26.97909245,29.45085836,22.78519308,25.52613037,29.37541723,29.74782398,25.56087728,28.72208424,26.24162,24.84919169,30.70019349,22.15334635,35.25779772,25.60858028,27.27893118,27.9114111,31.06968975,29.18748696,30.51990579,29.75805179,29.47918809,28.46271693,31.08014063,36.15197435,28.23691536,39.66418718,30.19426816,31.53244054,40.09986067,29.96470402,32.31136719,24.63856589,27.81381102,34.09197165,31.64746339,34.44910756,38.8944585,40.01112445,31.5253666,34.3222808,29.13859108,31.70894882,31.51620032,25.16570818,26.48613585,31.71718344,32.05653238,47.26436838,34.66807231,36.7414087,28.35596264
1/7/2017,27.5156993,24.23959633,29.87293124,21.36287551,25.123925,25.81109182,26.86240814,24.03093206,27.62442243,24.48675945,22.6903981,30.04905113,20.73300046,31.47791203,23.92185555,26.65829433,30.03843534,29.41532818,28.12732466,29.11296514,29.99563702,27.28960779,26.86410278,28.2789864,34.03217875,28.51613396,40.53685326,28.79092583,27.85305787,36.25430707,28.76847279,30.02107965,21.64598485,25.30769357,33.79569956,30.13314059,33.01091521,39.34037832,38.77678586,29.20049464,31.29173043,28.02999304,27.11899762,27.65589468,23.00268524,26.65343794,27.63129192,32.63028892,48.77816465,33.29820423,32.28507955,29.47576269
1/8/2017,26.18421047,20.77123913,26.05219085,21.77598329,23.56181115,24.72305525,26.01296136,21.83519018,26.00317845,22.02968557,21.71391372,26.87074793,19.26253153,28.90709306,22.72550876,23.8057991,29.81380594,28.71981043,27.03151479,28.81138218,27.77393661,26.05343571,26.23387527,27.04376782,30.10143398,26.78580525,36.57730818,27.42743814,28.82061041,33.97514632,30.63878478,26.49426609,21.33423121,24.13154713,31.51632821,28.30570764,29.4301253,35.75857908,36.10545288,27.30139701,27.47654885,25.30091893,23.51028453,28.00308405,21.69608069,25.74984568,23.74166571,24.99478029,46.02028861,32.86520514,29.49878767,30.10509695
1/9/2017,23.31759813,21.59078627,27.52033815,23.55749706,25.19978619,25.78202569,24.39687843,24.7145698,26.02715726,22.687992,20.90471536,32.59509189,18.69509146,28.64108892,23.25826379,25.94616762,32.6597593,28.0671928,22.61796547,27.25627791,26.00938951,26.38020434,26.92463993,26.98576636,28.49974008,25.93432935,36.54419446,28.12275179,28.16308331,33.53685904,32.53606116,29.9711083,21.99864228,22.47524575,27.33452203,28.30950759,29.46129483,37.30924934,35.99538124,27.51004825,25.34730919,24.78297625,25.73541413,26.20252182,22.54449719,27.32897179,21.84149425,25.49349283,45.3015884,31.70075858,30.2603345,30.76229599
1/10/2017,24.38006767,23.73087353,29.8381238,20.79243312,25.51476167,26.86235915,27.02464801,29.24304614,24.01398861,22.05413935,20.23304975,33.00976509,18.05895712,25.5212284,23.06140869,27.50916758,29.43653858,26.33697791,23.59652861,26.62336631,26.40657515,27.2679392,25.53003608,28.9857719,31.49062644,26.05649583,31.62481841,29.63455992,29.94932872,31.07245059,29.51017879,31.632874,22.99436024,24.38119142,28.47778419,29.64464157,29.31474864,38.78681283,34.74933,26.72204621,25.63900521,26.15741131,25.27129007,28.07571739,21.85606757,27.97492857,23.5913237,26.01338839,43.90686758,30.1891208,30.28331763,31.70180812
